artifact_id;image_name;image_path;article_id
0-30_p018_880a3521;0-30_p018_880a3521_img1_ec5ea529b1_facd5ff86b22.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-30_p018_880a3521_img1_ec5ea529b1_facd5ff86b22.jpg;196
0-30_p018_880a3521;0-30_p018_880a3521_img2_5ee5105aad_54717b13c16d.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-30_p018_880a3521_img2_5ee5105aad_54717b13c16d.jpg;196
0-30_p018_880a3521;0-30_p018_880a3521_img3_73800916d1_7d6d1308a4eb.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-30_p018_880a3521_img3_73800916d1_7d6d1308a4eb.jpg;196
0-30_p020_5b4e7eb9;0-30_p020_5b4e7eb9_img1_4927e9102f_76e729f4f78b.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-30_p020_5b4e7eb9_img1_4927e9102f_76e729f4f78b.jpg;197
0-30_p020_5b4e7eb9;0-30_p020_5b4e7eb9_img2_6f95892d8c_ead03f5a6ae7.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-30_p020_5b4e7eb9_img2_6f95892d8c_ead03f5a6ae7.jpg;197
0-30_p021_65971c7e;0-30_p021_65971c7e_img1_9cd1e11d41_3173482e8d76.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-30_p021_65971c7e_img1_9cd1e11d41_3173482e8d76.jpg;198
0-30_p021_65971c7e;0-30_p021_65971c7e_img2_e208483481_10244c06b043.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-30_p021_65971c7e_img2_e208483481_10244c06b043.jpg;198
0-10_p059_d03964ed;0-10_p059_d03964ed_img1_35d0c0f2cc_6694be38d3c6.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p059_d03964ed_img1_35d0c0f2cc_6694be38d3c6.jpg;60
0-10_p061_1748219e;0-10_p061_1748219e_img1_c6e81cc79f_8ab9654a8953.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p061_1748219e_img1_c6e81cc79f_8ab9654a8953.jpg;62
0-10_p062_e4da8aed;0-10_p062_e4da8aed_img1_c275de771b_43d203285fd6.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p062_e4da8aed_img1_c275de771b_43d203285fd6.jpg;63
0-10_p063_7c650d5d;0-10_p063_7c650d5d_img1_a36bfab2a6_6dd62839dd04.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p063_7c650d5d_img1_a36bfab2a6_6dd62839dd04.jpg;64
0-10_p065_20d411b4;0-10_p065_20d411b4_img1_9daf5f0ec2_7817f9e541a6.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p065_20d411b4_img1_9daf5f0ec2_7817f9e541a6.jpg;66
0-10_p067_ac96fcd1;0-10_p067_ac96fcd1_img1_7fef31ff36_71e110f0ea5e.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p067_ac96fcd1_img1_7fef31ff36_71e110f0ea5e.jpg;68
