id;object_type;object_materials;sending_country;receiving_country;year_returned;year_acquired;date_looted
2090;Sculpture;Bronze;USA;Türkiye;2023.0;1989.0;1967.0
2091;Sculpture;Bronze;USA;Türkiye;2023.0;2011.0;
2092;Sculpture;Marble;USA;Türkiye;2023.0;2012.0;
2095;Human Remains;Human Remains;USA;Egypt;2003.0;;
2119;Jewelry;Various;USA;Ghana;2024.0;1965.0;1874.0
2121;Funerary Object;Various;Germany;USA;2018.0;;
2131;Sculpture;Clay;UK;Afghanistan;2019.0;2002.0;
2132;Sculpture;Various;UK;Cambodia;2021.0;;
2133;Sculpture;Marble;USA;Italy;2021.0;;
2134;Sculpture;Sandstone;USA;Cambodia;2021.0;2000.0;
2139;Jewelry;Other;UK;Italy;2003.0;;1994.0
2144;Information Artifact;Other;USA;UK;2021.0;;
2145;Sculpture;Granite;UK;Egypt;2014.0;;2000.0
2148;Sculpture;Stone;USA;India;2016.0;2001.0;
2149;Religious Work;Various;USA;USA;2011.0;;
2150;Sculpture;Silver;USA;UK;1993.0;1993.0;1981.0
2151;Monument;Stone;USA;Mexico;2023.0;;1962.0
2153;Funerary Object;Alabaster;USA;Yemen;2023.0;;1994.0
2154;Various;Various;USA;Italy;2023.0;;
2155;Religious Work;Various;France;USA;2019.0;;
2158;Sculpture;Sandstone;Australia;India;2020.0;2006.0;
2159;Various;Various;USA;Saudi Arabia;;;
2161;Currency;Gold;USA;Spain;2012.0;;2007.0
2162;Sculpture;Bronze;UK;Nigeria;2021.0;;1897.0
2163;Sculpture;Bronze;UK;Nigeria;2014.0;2019.0;1897.0
2169;Currency;Various;Italy;Egypt;2018.0;;
2174;Sculpture;Marble;USA;Italy;2007.0;;1979.0
2175;Various;Various;USA;Haiti;;;
2178;Various;Ceramic;Argentina;Peru;2016.0;;
2179;Various;Various;Germany;Mexico;;;
2185;Visual Work;Various;Germany;Cyprus;2014.0;;
2186;Visual Work;Lime Plaster;USA;Cyprus;2012.0;1984.0;1974.0
2187;Visual Work;Various;Netherlands;Cyprus;2013.0;;1975.0
2188;Visual Work;Gold Leaf;Switzerland;Cyprus;2022.0;;1975.0
2191;Sculpture;Bronze;USA;Türkiye;2023.0;2007.0;1967.0
2192;Sculpture;Bronze;USA;Türkiye;2023.0;1966.0;1967.0
2193;Sculpture;Bronze;USA;Türkiye;2023.0;1971.0;
2194;Sculpture;Bronze;USA;Türkiye;2023.0;;1967.0
2197;Funerary Object;Wood;USA;Egypt;2022.0;;
2200;Vessel;Ceramic;USA;Thailand;2017.0;;
2201;Various;Various;USA;India;;;
2206;;;;;;;
2207;;;;;;;
2208;;;;;;;
2209;;;;;;;
2211;;;;;;;
2212;Jewelry;Bronze;Australia;Cambodia;2011.0;;
2225;;Bronze;USA;India;2015.0;2005.0;
2226;Sculpture;Bronze;USA;Nigeria;2014.0;;1976.0
2230;Funerary Object;Gold;USA;Greece;2006.0;1993.0;1990.0
2232;Funerary Object;Marble;USA;China;2001.0;;1994.0
2233;Sculpture;Marble;USA;Italy;2019.0;;
2234;Architecture;Lime Plaster;USA;Mexico;1986.0;1978.0;
2235;Funerary Object;Wood;USA;Egypt;2019.0;2017.0;2011.0
2236;Sculpture;Copper;USA;Thailand;2023.0;1988.0;
2240;Sculpture;Sandstone;USA;Cambodia;2016.0;1986.0;
2241;Sculpture;Bronze;USA;Cambodia;2022.0;2000.0;
2242;Monument;Wood;USA;Guatemala;1998.0;1973.0;
2246;Religious Work;Brass;Belgium;Ethiopia;1999.0;1999.0;
2248;Sculpture;Bronze;Thailand;India;2024.0;2006.0;
2254;Sculpture;Ceramic;Sweden;Mexico;2022.0;;
2255;Equipment;Bronze;Netherlands;Sri Lanka;2023.0;1927.0;1765.0
2321;Sculpture;Wood;USA;Nigeria;2024.0;;1897.0
2373;Equipment;Wood;USA;Ethiopia;2024.0;;
2375;Sculpture;Bronze;USA;Türkiye;2025.0;1986.0;
2376;Sculpture;Bronze;USA;Greece;2025.0;1972.0;
2382;Vessel;Clay;Germany;Greece;2024.0;1986.0;1943.0
2410;Human Remains;Stone;USA;USA;2024.0;;
2524;Sculpture;Marble;USA;Italy;2017.0;;1944.0
2530;Sculpture;Bronze;USA;Nigeria;2022.0;1939.0;1897.0
2802;Sculpture;Stone;USA;Guatemala;1999.0;;
2850;Equipment;Bronze;USA;Italy;1996.0;1990.0;
2851;Sculpture;Marble;USA;Greece;2024.0;2024.0;
2856;Equipment;Gold;Netherlands;Sri Lanka;2023.0;1927.0;1765.0
3125;Sculpture;Bronze;UK;Italy;2018.0;;1988.0
