id,Title,Repatriated?,Year Returned,Sending Country,Receiving Country,Object Materials,Country of Origin,Description of Object(s),Object Type,Culture,Size,Findspot,Date Looted,Current Location,Dealer,Year Acquired,Museum Name
957,Morgantina Silver ,Yes,2010,USA,Italy,Silver,Italy,"The 'Morgantina Silver' is a collection of 16 silver artifacts looted from the site of Morgantina in Sicily.  Morgantina at the time was a Hellenistic settlement founded around 1000 B.C. and is close to the town of Aidone, where the cache was repatriated. The hoard includes two small silver horns, an emblem depicting the sea monster Scylla in sculptural relief, a ladle with a dog's head (common of Morgantinian artifacts), and various drinking bowls. The hoard has been described to have been most likely used during philosophical symposia's or ritualistic purposes. ","Vessel – pots, amphorae, vases, kraters",Greek,2,Morgantina,1979-1980,"Aidone, Sicily",Robert Hecht | Nabil Asfar,1981 and 1982 (seperate transactions),Metropolitan Museum of Art
958,Aidonia Treasure,Yes,1996,USA,Greece,Gold,Greece,"Collection of Mycenaen gold and jewelry found in a cemetery in Aidonia, Greece. ",Various | Jewelry,Mycenaen,1,"Aidonia, Peloponnesian district of Corinthia in Greece",circa November 1976,"Museum of Nemea, Greece",Michael Ward,1993,
960,"""Sleeping Beauty"" Sarcophagus Lid",Yes,2014,USA,Italy,Marble,Italy,"Life-size reclining woman in marble, which  probably served as the lid of an 1,800-year-old sarcophagus for a Roman noblewoman. 
Weight: approximately 1,700 pounds (771 kilograms).","Funerary Object – coffins, mummy portraits, grave goods",Roman,4,Unknown,1970s or early 1980s,Italy,Gianfranco Becchina | Ali Aboutaam and Hicham Aboutaam | Noriyoshi Horiuchi | Antonio “Nino” Savoca | George Ortiz,,
961,Elmali Hoard,Yes,1999,USA,Türkiye,Various,Türkiye,coin hoard including rare decadrachms of Athens,"Currency – coins, weights, exchange goods",Greek | Lycian,1,"Elmali, Antalya, Türkiye",April 1984,"Elmali Museum, Antalya, Türkiye",unnamed Munich dealer | OKS Partners,1984,
966,Billy the Goat ,Yes,1952,USA,Italy,Marble,Italy,"The Roman head of a goat is part of what was once a life-sized goat statue, purchased in 1948 from an antique shop in Italy","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,3,Museo dei Conservatori in Rome,Likely between 1937 and 1945,Princeton University Art Museum,,1948,Princeton University Art Museum
968,Bust of Empress Livia,Yes,2000,Switzerland,Albania,Marble,Albania,"Portrait bust of Empress Livia, found by Italian archaeologist Luigi Ugolini when excavating the theater at the site of Butrint in 1928.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,3,"Butrint National Park, Albania",April 1991,"Archaeological Museum of Butrint,  Albania ",Robert Hecht,,
972,Etruscan Black Figured Kalpis,Yes,2013,USA,Italy,Ceramic,Italy,A kalpis (water vessel) depicting pirates being turned into dolphins by the god Dionysus.,Vessel,Etruscan,2,,1981,Italy,Gianfranco Becchina | Giacomo Medici,1982,Toledo Museum of Art
973,49 Dacian coins,Yes,2013,USA,Romania,Silver,Romania,49 silver coins,"Currency – coins, weights, exchange goods",Dacian,1,Sarmizegetusa Regia,Before 2003,"National History Museum, Bucharest",A Chicago antiquities dealer,,
975,Trojan Gold,Yes,2012,USA,Türkiye,Gold,Türkiye,24 pieces of Trojan gold jewellery,"Jewelry – bracelets, rings, personal decoration",Trojan,1,"Most likely Troy (as determined through soil analysis). However, claims also come from Greece and southeastern Europe. ",Unknown,Türkiye,Robert Hecht | George Allen,1966,University of Pennsylvania Museum of Archaeology and Anthropology ('Penn Museum')
977,Saint Matthew New Testament,Yes,2014,USA,Greece,Various,Greece,"lluminated New Testament, which was copied in 1133 by the scribe Theoktistos. It can be stylistically associated with court art produced in Constantinople. Its dimensions are Leaf: 21 × 14.9 cm (8 1/4 × 5 7/8 in.) and it was created using tempera colors, gold leaf, gold ink, and ink.","Religious Work – crucifixes, shrine objects, icons, religious texts | Information Artifact – books, seals, plaques, scrolls",Byzantine,2,"Monastery of Dionysiou, Mount Athos, Greece",1960,"Dionysiou Monastery, Mount Athos, Greece","Peter and Irene Ludwig of Aachen, Germany",1983,J. Paul Getty Museum
